"id","nombre_s","primer_apellido","segundo_apellido","tipo_de_voto","archivo","sentido_del_voto","numero_de_legislatura","numero_de_sesion_o_reunion","sesion_celebrada_y_el_tipo_de_la_misma","organismo","tipo_de_asunto_que_se_vota","titulo_del_asunto","hipervinculo_al_acta","nota","hipervinculo_al_dictamen","hipervinculo_al_documento","hipervinculo_al_acta_de_votacion","reunion"
"1","Cynthia Iliana","López","Castro","Voto particular","72-IXF-CE-4-2018-140219.xlsx",NA,"LXIV","Segunda","Ordinaria","Comisión Ordinaria",NA,NA,NA,NA,"http://www5.diputados.gob.mx/index.php/esl/content/download/128047/642128/file/CE-72-9-E-VOTACION5-141118.pdf","http://www5.diputados.gob.mx/index.php/esl/content/download/128107/642426/file/CE-72-9-E-VOTOPAR1-141118.pdf",NA,0
"2","Abril","Alcalá","Padilla","Voto particular","72-IXF-CE-4-2018-140219.xlsx",NA,"LXIV","Segunda","Ordinaria","Comisión Ordinaria",NA,NA,NA,NA,"http://www5.diputados.gob.mx/index.php/esl/content/download/128047/642128/file/CE-72-9-E-VOTACION5-141118.pdf","http://www5.diputados.gob.mx/index.php/esl/content/download/128107/642428/file/CE-72-9-E-VOTOPAR2-141118.pdf",NA,0
"2","Ernesto Alfonso","Robledo","Leal","Voto particular","72-IXF-CE-4-2018-140219.xlsx",NA,"LXIV","Segunda","Ordinaria","Comisión Ordinaria",NA,NA,NA,NA,"http://www5.diputados.gob.mx/index.php/esl/content/download/128047/642128/file/CE-72-9-E-VOTACION5-141118.pdf","http://www5.diputados.gob.mx/index.php/esl/content/download/128107/642428/file/CE-72-9-E-VOTOPAR2-141118.pdf",NA,0
"2","Annia Sarahi","Gómez","Cardenas","Voto particular","72-IXF-CE-4-2018-140219.xlsx",NA,"LXIV","Segunda","Ordinaria","Comisión Ordinaria",NA,NA,NA,NA,"http://www5.diputados.gob.mx/index.php/esl/content/download/128047/642128/file/CE-72-9-E-VOTACION5-141118.pdf","http://www5.diputados.gob.mx/index.php/esl/content/download/128107/642428/file/CE-72-9-E-VOTOPAR2-141118.pdf",NA,0
"2","Isabel Margarita","Guerra","Villarreal","Voto particular","72-IXF-CE-4-2018-140219.xlsx",NA,"LXIV","Segunda","Ordinaria","Comisión Ordinaria",NA,NA,NA,NA,"http://www5.diputados.gob.mx/index.php/esl/content/download/128047/642128/file/CE-72-9-E-VOTACION5-141118.pdf","http://www5.diputados.gob.mx/index.php/esl/content/download/128107/642428/file/CE-72-9-E-VOTOPAR2-141118.pdf",NA,0
"2","Felipe Fernando","Macías","Olvera","Voto particular","72-IXF-CE-4-2018-140219.xlsx",NA,"LXIV","Segunda","Ordinaria","Comisión Ordinaria",NA,NA,NA,NA,"http://www5.diputados.gob.mx/index.php/esl/content/download/128047/642128/file/CE-72-9-E-VOTACION5-141118.pdf","http://www5.diputados.gob.mx/index.php/esl/content/download/128107/642428/file/CE-72-9-E-VOTOPAR2-141118.pdf",NA,0
"1","Benito","Medina","Herrera","Votación nominal","72-IXE-CDNA-1-2019-120419.xlsx","A favor","LXIV","Tercera","Tercera Reunión Ordinaria","Comisión","Dictamen","Dictamen que desecha la iniciativa con proyecto de decreto que reforma y adiciona diversas disposiciones de la Ley Organica del Ejercito y Fuerza Aérea Mexicanos y de la Ley Organica de la Armada de México",NA,NA,NA,NA,"http://archivos.diputados.gob.mx/Transparencia/articulo72/IX/cdna/listas_votacion/CDNA-72-IXE-DictquedeschInquerefyaddivsdispsLOEyFAMyLOAM10319.pdf",0
"1","María Guillermina","Alvarado","Moreno","Votación nominal","72-IXE-CDNA-1-2019-120419.xlsx","A favor","LXIV","Tercera","Tercera Reunión Ordinaria","Comisión","Dictamen","Dictamen que desecha la iniciativa con proyecto de decreto que reforma y adiciona diversas disposiciones de la Ley Organica del Ejercito y Fuerza Aérea Mexicanos y de la Ley Organica de la Armada de México",NA,NA,NA,NA,"http://archivos.diputados.gob.mx/Transparencia/articulo72/IX/cdna/listas_votacion/CDNA-72-IXE-DictquedeschInquerefyaddivsdispsLOEyFAMyLOAM10319.pdf",0
"1","Limbert Iván de Jesús","Interian","Gallegos","Votación nominal","72-IXE-CDNA-1-2019-120419.xlsx","A favor","LXIV","Tercera","Tercera Reunión Ordinaria","Comisión","Dictamen","Dictamen que desecha la iniciativa con proyecto de decreto que reforma y adiciona diversas disposiciones de la Ley Organica del Ejercito y Fuerza Aérea Mexicanos y de la Ley Organica de la Armada de México",NA,NA,NA,NA,"http://archivos.diputados.gob.mx/Transparencia/articulo72/IX/cdna/listas_votacion/CDNA-72-IXE-DictquedeschInquerefyaddivsdispsLOEyFAMyLOAM10319.pdf",0
"1","Jannet","Tellez","Infante","Votación nominal","72-IXE-CDNA-1-2019-120419.xlsx","A favor","LXIV","Tercera","Tercera Reunión Ordinaria","Comisión","Dictamen","Dictamen que desecha la iniciativa con proyecto de decreto que reforma y adiciona diversas disposiciones de la Ley Organica del Ejercito y Fuerza Aérea Mexicanos y de la Ley Organica de la Armada de México",NA,NA,NA,NA,"http://archivos.diputados.gob.mx/Transparencia/articulo72/IX/cdna/listas_votacion/CDNA-72-IXE-DictquedeschInquerefyaddivsdispsLOEyFAMyLOAM10319.pdf",0
"1","Armando Javier","Zertuche","Zuani","Votación nominal","72-IXE-CDNA-1-2019-120419.xlsx","A favor","LXIV","Tercera","Tercera Reunión Ordinaria","Comisión","Dictamen","Dictamen que desecha la iniciativa con proyecto de decreto que reforma y adiciona diversas disposiciones de la Ley Organica del Ejercito y Fuerza Aérea Mexicanos y de la Ley Organica de la Armada de México",NA,NA,NA,NA,"http://archivos.diputados.gob.mx/Transparencia/articulo72/IX/cdna/listas_votacion/CDNA-72-IXE-DictquedeschInquerefyaddivsdispsLOEyFAMyLOAM10319.pdf",0
"1","Iván Arturo","Rodríguez","Rivera","Votación nominal","72-IXE-CDNA-1-2019-120419.xlsx","A favor","LXIV","Tercera","Tercera Reunión Ordinaria","Comisión","Dictamen","Dictamen que desecha la iniciativa con proyecto de decreto que reforma y adiciona diversas disposiciones de la Ley Organica del Ejercito y Fuerza Aérea Mexicanos y de la Ley Organica de la Armada de México",NA,NA,NA,NA,"http://archivos.diputados.gob.mx/Transparencia/articulo72/IX/cdna/listas_votacion/CDNA-72-IXE-DictquedeschInquerefyaddivsdispsLOEyFAMyLOAM10319.pdf",0
"1","Fernando","Torres","Graciano","Votación nominal","72-IXE-CDNA-1-2019-120419.xlsx","A favor","LXIV","Tercera","Tercera Reunión Ordinaria","Comisión","Dictamen","Dictamen que desecha la iniciativa con proyecto de decreto que reforma y adiciona diversas disposiciones de la Ley Organica del Ejercito y Fuerza Aérea Mexicanos y de la Ley Organica de la Armada de México",NA,NA,NA,NA,"http://archivos.diputados.gob.mx/Transparencia/articulo72/IX/cdna/listas_votacion/CDNA-72-IXE-DictquedeschInquerefyaddivsdispsLOEyFAMyLOAM10319.pdf",0
"1","Miguel Ángel","Chico","Herrera","Votación nominal","72-IXE-CDNA-1-2019-120419.xlsx","A favor","LXIV","Tercera","Tercera Reunión Ordinaria","Comisión","Dictamen","Dictamen que desecha la iniciativa con proyecto de decreto que reforma y adiciona diversas disposiciones de la Ley Organica del Ejercito y Fuerza Aérea Mexicanos y de la Ley Organica de la Armada de México",NA,NA,NA,NA,"http://archivos.diputados.gob.mx/Transparencia/articulo72/IX/cdna/listas_votacion/CDNA-72-IXE-DictquedeschInquerefyaddivsdispsLOEyFAMyLOAM10319.pdf",0
"1","Agustín Reynaldo","Huerta","González","Votación nominal","72-IXE-CDNA-1-2019-120419.xlsx","A favor","LXIV","Tercera","Tercera Reunión Ordinaria","Comisión","Dictamen","Dictamen que desecha la iniciativa con proyecto de decreto que reforma y adiciona diversas disposiciones de la Ley Organica del Ejercito y Fuerza Aérea Mexicanos y de la Ley Organica de la Armada de México",NA,NA,NA,NA,"http://archivos.diputados.gob.mx/Transparencia/articulo72/IX/cdna/listas_votacion/CDNA-72-IXE-DictquedeschInquerefyaddivsdispsLOEyFAMyLOAM10319.pdf",0
"1","Abelina","López","Rodríguez","Votación nominal","72-IXE-CDNA-1-2019-120419.xlsx","A favor","LXIV","Tercera","Tercera Reunión Ordinaria","Comisión","Dictamen","Dictamen que desecha la iniciativa con proyecto de decreto que reforma y adiciona diversas disposiciones de la Ley Organica del Ejercito y Fuerza Aérea Mexicanos y de la Ley Organica de la Armada de México",NA,NA,NA,NA,"http://archivos.diputados.gob.mx/Transparencia/articulo72/IX/cdna/listas_votacion/CDNA-72-IXE-DictquedeschInquerefyaddivsdispsLOEyFAMyLOAM10319.pdf",0
"1","Miguel Ángel","Márquez","González","Votación nominal","72-IXE-CDNA-1-2019-120419.xlsx","A favor","LXIV","Tercera","Tercera Reunión Ordinaria","Comisión","Dictamen","Dictamen que desecha la iniciativa con proyecto de decreto que reforma y adiciona diversas disposiciones de la Ley Organica del Ejercito y Fuerza Aérea Mexicanos y de la Ley Organica de la Armada de México",NA,NA,NA,NA,"http://archivos.diputados.gob.mx/Transparencia/articulo72/IX/cdna/listas_votacion/CDNA-72-IXE-DictquedeschInquerefyaddivsdispsLOEyFAMyLOAM10319.pdf",0
"1","Juan","Ortiz","Guarneros","Votación nominal","72-IXE-CDNA-1-2019-120419.xlsx","A favor","LXIV","Tercera","Tercera Reunión Ordinaria","Comisión","Dictamen","Dictamen que desecha la iniciativa con proyecto de decreto que reforma y adiciona diversas disposiciones de la Ley Organica del Ejercito y Fuerza Aérea Mexicanos y de la Ley Organica de la Armada de México",NA,NA,NA,NA,"http://archivos.diputados.gob.mx/Transparencia/articulo72/IX/cdna/listas_votacion/CDNA-72-IXE-DictquedeschInquerefyaddivsdispsLOEyFAMyLOAM10319.pdf",0
"1","Nancy Claudia","Reséndiz","Hernández","Votación nominal","72-IXE-CDNA-1-2019-120419.xlsx","A favor","LXIV","Tercera","Tercera Reunión Ordinaria","Comisión","Dictamen","Dictamen que desecha la iniciativa con proyecto de decreto que reforma y adiciona diversas disposiciones de la Ley Organica del Ejercito y Fuerza Aérea Mexicanos y de la Ley Organica de la Armada de México",NA,NA,NA,NA,"http://archivos.diputados.gob.mx/Transparencia/articulo72/IX/cdna/listas_votacion/CDNA-72-IXE-DictquedeschInquerefyaddivsdispsLOEyFAMyLOAM10319.pdf",0
"1","Gerardo","Fernández","Noroña","Votación nominal","72-IXE-CDNA-1-2019-120419.xlsx","A favor","LXIV","Tercera","Tercera Reunión Ordinaria","Comisión","Dictamen","Dictamen que desecha la iniciativa con proyecto de decreto que reforma y adiciona diversas disposiciones de la Ley Organica del Ejercito y Fuerza Aérea Mexicanos y de la Ley Organica de la Armada de México",NA,NA,NA,NA,"http://archivos.diputados.gob.mx/Transparencia/articulo72/IX/cdna/listas_votacion/CDNA-72-IXE-DictquedeschInquerefyaddivsdispsLOEyFAMyLOAM10319.pdf",0
"1","Carmen Julia","Prudencio","González","Votación nominal","72-IXE-CDNA-1-2019-120419.xlsx","A favor","LXIV","Tercera","Tercera Reunión Ordinaria","Comisión","Dictamen","Dictamen que desecha la iniciativa con proyecto de decreto que reforma y adiciona diversas disposiciones de la Ley Organica del Ejercito y Fuerza Aérea Mexicanos y de la Ley Organica de la Armada de México",NA,NA,NA,NA,"http://archivos.diputados.gob.mx/Transparencia/articulo72/IX/cdna/listas_votacion/CDNA-72-IXE-DictquedeschInquerefyaddivsdispsLOEyFAMyLOAM10319.pdf",0
"1","Juan Francisco","Ramírez","Salcido","Votación nominal","72-IXE-CDNA-1-2019-120419.xlsx","A favor","LXIV","Tercera","Tercera Reunión Ordinaria","Comisión","Dictamen","Dictamen que desecha la iniciativa con proyecto de decreto que reforma y adiciona diversas disposiciones de la Ley Organica del Ejercito y Fuerza Aérea Mexicanos y de la Ley Organica de la Armada de México",NA,NA,NA,NA,"http://archivos.diputados.gob.mx/Transparencia/articulo72/IX/cdna/listas_votacion/CDNA-72-IXE-DictquedeschInquerefyaddivsdispsLOEyFAMyLOAM10319.pdf",0
"1","Claudia","Reyes","Montiel","Votación nominal","72-IXE-CDNA-1-2019-120419.xlsx","En contra","LXIV","Tercera","Tercera Reunión Ordinaria","Comisión","Dictamen","Dictamen que desecha la iniciativa con proyecto de decreto que reforma y adiciona diversas disposiciones de la Ley Organica del Ejercito y Fuerza Aérea Mexicanos y de la Ley Organica de la Armada de México",NA,NA,NA,NA,"http://archivos.diputados.gob.mx/Transparencia/articulo72/IX/cdna/listas_votacion/CDNA-72-IXE-DictquedeschInquerefyaddivsdispsLOEyFAMyLOAM10319.pdf",0
"1","Jesús Carlos","Vidal","Peniche","Votación nominal","72-IXE-CDNA-1-2019-120419.xlsx","A favor","LXIV","Tercera","Tercera Reunión Ordinaria","Comisión","Dictamen","Dictamen que desecha la iniciativa con proyecto de decreto que reforma y adiciona diversas disposiciones de la Ley Organica del Ejercito y Fuerza Aérea Mexicanos y de la Ley Organica de la Armada de México",NA,NA,NA,NA,"http://archivos.diputados.gob.mx/Transparencia/articulo72/IX/cdna/listas_votacion/CDNA-72-IXE-DictquedeschInquerefyaddivsdispsLOEyFAMyLOAM10319.pdf",0
